2026-08-07 00:25:15,838 | INFO | learning_roadmap.py:12 | Learning roadmap request received. Analysis ID: 27, Role ID: 5
2026-08-07 00:25:15,839 | INFO | learning_roadmap_service.py:9 | Fetching analysis. Analysis ID: 27
2026-08-07 00:25:15,839 | INFO | learning_roadmap_service.py:10 | Fetching Role. Role ID: 5
2026-08-07 00:25:16,018 | INFO | learning_roadmap_service.py:38 | Analysis fetched successfully. Analysis ID: 27
2026-08-07 00:25:16,018 | INFO | learning_roadmap_service.py:40 | Roles fetched successfully. Roles ID: 5
2026-08-07 00:26:05,954 | INFO | learning_roadmap.py:12 | Learning roadmap request received. Analysis ID: 48, Role ID: 5
2026-08-07 00:26:05,954 | INFO | learning_roadmap_service.py:9 | Fetching analysis. Analysis ID: 48
2026-08-07 00:26:05,954 | INFO | learning_roadmap_service.py:10 | Fetching Role. Role ID: 5
2026-08-07 00:26:05,958 | INFO | learning_roadmap_service.py:38 | Analysis fetched successfully. Analysis ID: 48
2026-08-07 00:26:05,958 | INFO | learning_roadmap_service.py:40 | Roles fetched successfully. Roles ID: 5
2026-08-07 00:29:17,455 | INFO | roles.py:15 | Fetching all Roles 
2026-08-07 00:29:47,946 | INFO | roles_id.py:13 | Fetching Role. Role ID: 5
2026-08-07 00:29:47,951 | INFO | roles_id.py:30 | Roles fetched successfully. Roles ID: 5
2026-08-07 00:30:01,820 | INFO | analysis.py:15 | Fetching analysis. Analysis ID: 48
2026-08-07 00:30:01,822 | INFO | analysis.py:34 | Analysis fetched successfully. Analysis ID: 48
2026-08-08 23:52:10,551 | INFO | analysis.py:15 | Fetching analysis. Analysis ID: 48
2026-08-08 23:52:10,569 | INFO | analysis.py:34 | Analysis fetched successfully. Analysis ID: 48
2026-08-09 15:12:52,930 | INFO | analysis.py:15 | Fetching analysis. Analysis ID: 48
2026-08-09 15:12:52,949 | INFO | analysis.py:34 | Analysis fetched successfully. Analysis ID: 48
2026-08-09 15:13:13,924 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 48
2026-08-09 15:13:13,924 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 48
2026-08-09 15:18:23,177 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 48
2026-08-09 15:18:23,177 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 48
2026-08-09 15:22:47,464 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 48
2026-08-09 15:22:47,465 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 48
2026-08-09 15:28:01,628 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 33
2026-08-09 15:28:01,638 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 33
2026-08-09 15:30:19,397 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 61
2026-08-09 15:30:19,397 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 61
2026-08-09 15:30:54,597 | INFO | learning_resource.py:13 | Learning resources request received. Analysis ID: 49
2026-08-09 15:30:54,597 | INFO | learning_resource_service.py:30 | Fetching learning resources. Analysis ID: 49
2026-08-11 23:14:39,202 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-11 23:14:39,202 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-11 23:14:39,221 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-11 23:54:16,856 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 2, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-11 23:54:16,858 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:2 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-11 23:54:16,873 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 2
2026-08-11 23:55:31,740 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-11 23:55:31,741 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-11 23:55:31,743 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-11 23:55:36,766 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-11 23:55:36,766 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-11 23:55:36,768 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:03:42,525 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-12 00:03:42,525 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-12 00:03:42,527 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:04:38,399 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type:  Theory
2026-08-12 00:04:38,399 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type: Theory
2026-08-12 00:04:38,402 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:28:36,101 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type: MCQ
2026-08-12 00:28:36,101 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type:MCQ
2026-08-12 00:28:36,102 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:28:36,103 | ERROR | interview_prepration.py:58 | Error fetching Interview Preparation for Role ID: 1: 'Interview_Preparation' object is not subscriptable
Traceback (most recent call last):
  File "C:\Users\gaura\OneDrive\Documents\ai-resume-analyzer\backend\app\services\interview_prepration.py", line 48, in get_interview_preparation_service
    "id":question["id"],
         ~~~~~~~~^^^^^^
TypeError: 'Interview_Preparation' object is not subscriptable
2026-08-12 00:30:16,439 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: Beginner, Question Type: MCQ
2026-08-12 00:30:16,439 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:Beginner , question_type:MCQ
2026-08-12 00:30:16,446 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:55:56,339 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: FastAPI, Difficulty: MCQ, Question Type: Beginner
2026-08-12 00:55:56,339 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:FastAPI , difficulty:MCQ , question_type:Beginner
2026-08-12 00:55:56,349 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 00:59:50,099 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, 
2026-08-12 01:03:32,230 | INFO | interview_preparation.py:22 | Interview preparation request received. Role ID: 1, Skill: None, Difficulty: None, Question Type: None
2026-08-12 01:03:32,230 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:None , difficulty:None , question_type:None
2026-08-12 01:03:32,242 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
2026-08-12 01:22:08,097 | INFO | interview_preparation.py:12 | Interview preparation request received. Role ID: 1, Skill: None, Difficulty: None, Question Type: None
2026-08-12 01:22:08,099 | INFO | interview_prepration.py:10 | Fetching Interview Preparation for Role ID:1 , skill:None , difficulty:None , question_type:None
2026-08-12 01:22:08,109 | INFO | interview_prepration.py:23 | Roles fetched successfully. Roles ID: 1
